"Date","Price","Open","High","Low","Change %"
"Dec 22, 2021","2.843","2.890","2.890","2.840","-0.70%"
"Dec 21, 2021","2.863","2.878","2.878","2.856","0.17%"
"Dec 20, 2021","2.858","2.911","2.911","2.854","0.07%"
"Dec 17, 2021","2.856","2.895","2.895","2.853","-0.14%"
"Dec 16, 2021","2.860","2.873","2.873","2.851","0.35%"
"Dec 15, 2021","2.850","2.885","2.885","2.845","0.04%"
"Dec 14, 2021","2.849","2.895","2.895","2.847","-0.38%"
"Dec 13, 2021","2.860","2.910","2.910","2.850","0.42%"
"Dec 10, 2021","2.848","2.881","2.881","2.844","-0.42%"
"Dec 09, 2021","2.860","2.930","2.930","2.854","-0.10%"
"Dec 08, 2021","2.863","2.877","2.877","2.852","0.28%"
"Dec 07, 2021","2.855","2.870","2.870","2.826","1.03%"
"Dec 06, 2021","2.826","2.940","2.940","2.818","-2.89%"
"Dec 03, 2021","2.910","2.937","2.937","2.899","0.38%"
"Dec 02, 2021","2.899","2.922","2.922","2.882","0.69%"
"Dec 01, 2021","2.879","2.903","2.903","2.875","0.42%"
"Nov 30, 2021","2.867","2.898","2.898","2.866","0.10%"
"Nov 29, 2021","2.864","2.900","2.900","2.848","-0.49%"
"Nov 27, 2021","2.878","2.878","2.878","2.878","0.45%"
"Nov 26, 2021","2.865","2.928","2.928","2.863","-0.97%"
"Nov 25, 2021","2.893","2.928","2.928","2.891","-0.24%"
"Nov 24, 2021","2.900","2.975","2.975","2.898","-0.79%"
"Nov 23, 2021","2.923","2.977","2.977","2.922","0.00%"
"Nov 22, 2021","2.923","3.050","3.050","2.921","-0.20%"
"Nov 19, 2021","2.929","2.961","2.961","2.913","0.17%"
"Nov 18, 2021","2.924","2.996","2.996","2.921","-0.24%"
"Nov 17, 2021","2.931","2.963","2.963","2.928","0.07%"
"Nov 16, 2021","2.929","2.964","2.964","2.925","-0.10%"
"Nov 15, 2021","2.932","3.003","3.003","2.929","-0.74%"
"Nov 13, 2021","2.954","2.954","2.954","2.954","0.51%"
"Nov 12, 2021","2.939","2.975","2.975","2.934","0.00%"
"Nov 11, 2021","2.939","2.954","2.954","2.921","0.96%"
"Nov 10, 2021","2.911","2.944","2.944","2.887","0.07%"
"Nov 09, 2021","2.909","2.924","2.924","2.902","0.14%"
"Nov 08, 2021","2.905","2.935","2.935","2.893","0.28%"
"Nov 05, 2021","2.897","2.972","2.972","2.895","-1.13%"
"Nov 04, 2021","2.930","2.949","2.988","2.928","-0.48%"
"Nov 03, 2021","2.944","2.995","2.995","2.917","0.38%"
"Nov 02, 2021","2.933","2.989","2.989","2.927","-0.51%"
"Nov 01, 2021","2.948","3.030","3.030","2.946","-0.94%"
"Oct 29, 2021","2.976","2.996","2.996","2.971","0.03%"
"Oct 28, 2021","2.975","3.011","3.011","2.971","-0.20%"
"Oct 27, 2021","2.981","3.024","3.024","2.976","-0.10%"
"Oct 26, 2021","2.984","3.035","3.035","2.974","-0.03%"
"Oct 25, 2021","2.985","3.040","3.040","2.975","0.00%"
"Oct 22, 2021","2.985","3.015","3.015","2.969","0.47%"
"Oct 21, 2021","2.971","3.037","3.037","2.966","-1.43%"
"Oct 20, 2021","3.014","3.075","3.075","2.984","0.17%"
"Oct 19, 2021","3.009","3.108","3.108","2.994","-1.12%"
"Oct 18, 2021","3.043","3.060","3.060","3.013","1.64%"
"Oct 15, 2021","2.994","2.986","2.996","2.951","1.05%"
"Oct 14, 2021","2.963","2.991","2.991","2.958","-0.20%"
"Oct 13, 2021","2.969","2.985","2.985","2.953","0.20%"
"Oct 12, 2021","2.963","3.003","3.003","2.951","-0.03%"
"Oct 11, 2021","2.964","2.958","2.968","2.925","1.11%"
"Oct 09, 2021","2.931","2.920","2.934","2.920","0.77%"
"Oct 08, 2021","2.909","3.000","3.000","2.885","1.22%"
"Sep 30, 2021","2.874","2.910","2.910","2.870","-0.14%"
"Sep 29, 2021","2.878","2.881","2.896","2.869","-0.10%"
"Sep 28, 2021","2.881","2.904","2.904","2.875","0.00%"
"Sep 27, 2021","2.881","3.000","3.000","2.866","-0.35%"
"Sep 26, 2021","2.891","2.874","2.893","2.874","0.59%"
"Sep 24, 2021","2.874","2.907","2.907","2.868","0.28%"
"Sep 23, 2021","2.866","2.867","2.887","2.856","-0.03%"
"Sep 22, 2021","2.867","2.940","2.940","2.858","-0.83%"
"Sep 18, 2021","2.891","2.904","2.908","2.891","-0.07%"
"Sep 17, 2021","2.893","2.913","2.913","2.885","-0.03%"
"Sep 16, 2021","2.894","2.938","2.938","2.889","-0.21%"
"Sep 15, 2021","2.900","2.930","2.930","2.883","0.35%"
"Sep 14, 2021","2.890","2.923","2.923","2.885","0.00%"
"Sep 13, 2021","2.890","2.940","2.940","2.860","0.21%"
"Sep 10, 2021","2.884","2.910","2.910","2.868","0.28%"
"Sep 09, 2021","2.876","2.898","2.898","2.871","0.14%"
"Sep 08, 2021","2.872","2.894","2.894","2.847","0.42%"
"Sep 07, 2021","2.860","2.861","2.868","2.838","0.78%"
"Sep 06, 2021","2.838","2.960","2.960","2.826","-0.07%"
"Sep 03, 2021","2.840","2.860","2.860","2.833","0.07%"
"Sep 02, 2021","2.838","2.885","2.885","2.825","0.25%"
"Sep 01, 2021","2.831","2.930","2.930","2.823","-0.91%"
"Aug 31, 2021","2.857","2.915","2.915","2.849","-0.14%"
"Aug 30, 2021","2.861","2.938","2.938","2.855","-1.65%"
"Aug 27, 2021","2.909","2.887","2.911","2.869","0.94%"
"Aug 26, 2021","2.882","2.883","2.883","2.859","0.84%"
"Aug 25, 2021","2.858","2.980","2.980","2.836","-0.45%"
"Aug 24, 2021","2.871","2.898","2.898","2.858","0.07%"
"Aug 23, 2021","2.869","2.930","2.930","2.860","0.56%"
"Aug 20, 2021","2.853","2.849","2.871","2.844","0.14%"
"Aug 19, 2021","2.849","2.890","2.890","2.841","-0.04%"
"Aug 18, 2021","2.850","2.894","2.919","2.848","-1.45%"
"Aug 17, 2021","2.892","2.894","2.940","2.884","-0.07%"
