"Date","Price","Open","High","Low","Change %"
"Dec 30, 2022","18.300","18.350","18.350","18.300","0.00%"
"Dec 29, 2022","18.300","18.350","18.350","18.300","-0.27%"
"Dec 28, 2022","18.350","18.370","18.370","18.350","-0.11%"
"Dec 27, 2022","18.370","18.570","18.570","18.370","-1.08%"
"Dec 26, 2022","18.570","18.580","18.580","18.570","-0.05%"
"Dec 23, 2022","18.580","18.570","18.580","18.570","0.00%"
"Dec 22, 2022","18.580","18.570","18.580","18.570","0.05%"
"Dec 21, 2022","18.570","18.660","18.660","18.570","-0.48%"
"Dec 20, 2022","18.660","18.290","18.660","18.290","2.02%"
"Dec 19, 2022","18.290","18.140","18.290","18.140","0.83%"
"Dec 16, 2022","18.140","18.000","18.140","18.000","0.00%"
"Dec 15, 2022","18.140","18.000","18.140","18.000","0.78%"
"Dec 14, 2022","18.000","18.030","18.030","18.000","-0.17%"
"Dec 13, 2022","18.030","18.000","18.030","18.000","0.17%"
"Dec 12, 2022","18.000","17.960","18.000","17.960","0.22%"
"Dec 09, 2022","17.960","17.910","17.960","17.910","0.00%"
"Dec 08, 2022","17.960","17.910","17.960","17.910","0.28%"
"Dec 07, 2022","17.910","18.170","18.170","17.910","-1.43%"
"Dec 06, 2022","18.170","18.140","18.170","18.140","0.17%"
"Dec 05, 2022","18.140","18.550","18.550","18.140","-2.21%"
"Dec 02, 2022","18.550","18.550","18.550","18.550","0.00%"
"Dec 01, 2022","18.550","18.550","18.550","18.550","0.00%"
"Nov 30, 2022","18.550","19.030","19.030","18.550","-2.52%"
"Nov 29, 2022","19.030","19.030","19.030","19.030","0.00%"
"Nov 28, 2022","19.030","19.110","19.110","19.030","-0.42%"
"Nov 25, 2022","19.110","19.040","19.110","19.040","0.00%"
"Nov 24, 2022","19.110","19.040","19.110","19.040","0.37%"
"Nov 23, 2022","19.040","18.920","19.040","18.920","0.63%"
"Nov 22, 2022","18.920","19.030","19.030","18.920","-0.58%"
"Nov 21, 2022","19.030","18.880","19.030","18.880","0.79%"
"Nov 18, 2022","18.880","19.090","19.090","18.880","0.00%"
"Nov 17, 2022","18.880","19.090","19.090","18.880","-1.10%"
"Nov 16, 2022","19.090","19.100","19.100","19.090","-0.05%"
"Nov 15, 2022","19.100","19.100","19.100","19.100","0.00%"
"Nov 14, 2022","19.100","19.170","19.170","19.100","-0.37%"
"Nov 11, 2022","19.170","19.120","19.170","19.120","0.00%"
"Nov 10, 2022","19.170","19.120","19.170","19.120","0.26%"
"Nov 09, 2022","19.120","19.090","19.120","19.090","0.16%"
"Nov 08, 2022","19.090","19.080","19.090","19.080","0.05%"
"Nov 07, 2022","19.080","18.990","19.080","18.990","0.47%"
"Nov 04, 2022","18.990","18.990","18.990","18.990","0.00%"
"Nov 03, 2022","18.990","18.060","18.990","18.060","5.15%"
"Nov 02, 2022","18.060","18.310","18.310","18.060","-1.37%"
"Nov 01, 2022","18.310","18.030","18.310","18.030","1.55%"
"Oct 31, 2022","18.030","18.300","18.300","18.030","-1.48%"
"Oct 28, 2022","18.300","18.110","18.300","18.110","0.00%"
"Oct 27, 2022","18.300","18.110","18.300","18.110","1.05%"
"Oct 26, 2022","18.110","17.980","18.110","17.980","0.72%"
"Oct 25, 2022","17.980","18.230","18.230","17.980","-1.37%"
"Oct 24, 2022","18.230","18.210","18.230","18.210","0.11%"
"Oct 21, 2022","18.210","18.130","18.210","18.130","0.00%"
"Oct 20, 2022","18.210","18.130","18.210","18.130","0.44%"
"Oct 19, 2022","18.130","18.140","18.140","18.130","-0.06%"
"Oct 18, 2022","18.140","18.160","18.160","18.140","-0.11%"
"Oct 17, 2022","18.160","18.370","18.370","18.160","-1.14%"
"Oct 14, 2022","18.370","18.420","18.420","18.370","0.00%"
"Oct 13, 2022","18.370","18.420","18.420","18.370","-0.27%"
"Oct 12, 2022","18.420","18.440","18.440","18.420","-0.11%"
"Oct 11, 2022","18.440","18.420","18.440","18.420","0.11%"
"Oct 10, 2022","18.420","18.340","18.420","18.340","0.44%"
"Oct 07, 2022","18.340","18.260","18.340","18.260","-2.20%"
"Oct 06, 2022","18.752","18.752","18.752","18.752","2.25%"
"Oct 05, 2022","18.340","18.260","18.340","18.260","0.44%"
"Oct 04, 2022","18.260","18.360","18.360","18.260","-0.54%"
"Oct 03, 2022","18.360","18.310","18.360","18.310","0.27%"
"Sep 30, 2022","18.310","18.330","18.330","18.310","0.00%"
"Sep 29, 2022","18.310","18.330","18.330","18.310","-0.11%"
"Sep 28, 2022","18.330","18.300","18.330","18.300","0.16%"
"Sep 27, 2022","18.300","18.530","18.530","18.300","-1.24%"
"Sep 26, 2022","18.530","18.430","18.530","18.430","0.54%"
"Sep 23, 2022","18.430","18.350","18.430","18.350","0.00%"
"Sep 22, 2022","18.430","18.350","18.430","18.350","0.44%"
"Sep 21, 2022","18.350","18.330","18.350","18.330","0.11%"
"Sep 20, 2022","18.330","18.330","18.330","18.330","0.88%"
"Sep 19, 2022","18.170","18.190","18.190","18.170","-0.11%"
"Sep 16, 2022","18.190","18.260","18.260","18.190","0.00%"
"Sep 15, 2022","18.190","18.260","18.260","18.190","-0.38%"
"Sep 14, 2022","18.260","18.280","18.280","18.260","-0.11%"
"Sep 13, 2022","18.280","18.240","18.280","18.240","0.22%"
"Sep 12, 2022","18.240","18.300","18.300","18.240","-0.33%"
"Sep 09, 2022","18.300","18.230","18.300","18.230","0.00%"
"Sep 08, 2022","18.300","18.230","18.300","18.230","0.38%"
"Sep 07, 2022","18.230","18.130","18.230","18.130","0.55%"
"Sep 06, 2022","18.130","18.170","18.170","18.130","-0.22%"
"Sep 05, 2022","18.170","18.200","18.220","18.170","-0.16%"
"Sep 02, 2022","18.200","18.170","18.200","18.170","0.00%"
"Sep 01, 2022","18.200","18.170","18.200","18.170","0.17%"
"Aug 31, 2022","18.170","18.090","18.170","18.090","0.44%"
"Aug 30, 2022","18.090","18.200","18.200","18.090","-0.60%"
"Aug 29, 2022","18.200","18.060","18.200","18.060","0.78%"
"Aug 26, 2022","18.060","18.020","18.060","18.020","0.00%"
"Aug 25, 2022","18.060","18.020","18.060","18.020","0.22%"
"Aug 24, 2022","18.020","17.990","18.020","17.990","0.17%"
"Aug 23, 2022","17.990","17.910","17.990","17.910","0.45%"
"Aug 22, 2022","17.910","18.010","18.010","17.910","-0.56%"
"Aug 19, 2022","18.010","17.910","18.010","17.910","0.00%"
"Aug 18, 2022","18.010","17.910","18.010","17.910","0.56%"
"Aug 17, 2022","17.910","17.890","17.910","17.890","0.11%"
"Aug 16, 2022","17.890","17.680","17.890","17.680","1.19%"
"Aug 15, 2022","17.680","17.710","17.710","17.680","-0.17%"
"Aug 12, 2022","17.710","17.690","17.710","17.690","0.00%"
"Aug 11, 2022","17.710","17.690","17.710","17.690","0.11%"
"Aug 10, 2022","17.690","17.620","17.690","17.620","0.40%"
"Aug 09, 2022","17.620","17.620","17.620","17.620","0.00%"
"Aug 08, 2022","17.620","17.640","17.640","17.620","-0.11%"
"Aug 05, 2022","17.640","17.510","17.640","17.510","0.00%"
"Aug 04, 2022","17.640","17.510","17.640","17.510","0.74%"
"Aug 03, 2022","17.510","17.470","17.510","17.470","0.23%"
"Aug 02, 2022","17.470","17.570","17.570","17.470","-0.57%"
"Aug 01, 2022","17.570","17.550","17.570","17.550","0.11%"
