"Date","Price","Open","High","Low","Change %"
"Dec 30, 2022","13.819","13.819","13.819","13.819","0.01%"
"Dec 29, 2022","13.818","13.818","13.818","13.818","0.01%"
"Dec 28, 2022","13.817","13.817","13.817","13.817","-0.03%"
"Dec 23, 2022","13.821","13.821","13.821","13.821","-1.45%"
"Dec 22, 2022","14.024","14.024","14.024","14.024","0.02%"
"Dec 21, 2022","14.021","14.021","14.021","14.021","0.01%"
"Dec 20, 2022","14.020","14.020","14.020","14.020","-0.01%"
"Dec 19, 2022","14.021","14.021","14.021","14.021","-0.01%"
"Dec 16, 2022","14.023","14.023","14.023","14.023","-3.92%"
"Dec 15, 2022","14.595","14.595","14.595","14.595","0.03%"
"Dec 14, 2022","14.591","14.591","14.591","14.591","-0.01%"
"Dec 13, 2022","14.592","14.592","14.592","14.592","0.01%"
"Dec 12, 2022","14.591","14.591","14.591","14.591","-0.03%"
"Dec 09, 2022","14.595","14.595","14.595","14.595","0.01%"
"Dec 08, 2022","14.594","14.594","14.594","14.594","0.01%"
"Dec 07, 2022","14.593","14.593","14.593","14.593","0.01%"
"Dec 06, 2022","14.592","14.592","14.592","14.592","0.49%"
"Dec 05, 2022","14.521","14.521","14.521","14.521","-0.03%"
"Dec 02, 2022","14.525","14.525","14.525","14.525","0.01%"
"Dec 01, 2022","14.524","14.524","14.524","14.524","0.01%"
"Nov 30, 2022","14.523","14.523","14.523","14.523","0.01%"
"Nov 29, 2022","14.522","14.522","14.522","14.522","-0.01%"
"Nov 28, 2022","14.523","14.523","14.523","14.523","0.22%"
"Nov 25, 2022","14.491","14.491","14.491","14.491","0.01%"
"Nov 24, 2022","14.490","14.490","14.490","14.490","0.01%"
"Nov 23, 2022","14.489","14.489","14.489","14.489","0.01%"
"Nov 22, 2022","14.488","14.488","14.488","14.488","0.15%"
"Nov 21, 2022","14.466","14.466","14.466","14.466","-0.82%"
"Nov 18, 2022","14.586","14.586","14.586","14.586","-0.17%"
"Nov 17, 2022","14.611","14.611","14.611","14.611","-0.19%"
"Nov 16, 2022","14.639","14.639","14.639","14.639","-0.59%"
"Nov 15, 2022","14.726","14.726","14.726","14.726","0.44%"
